21 November 2013,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
1549650000,4.9489626748,4.749392838,29.1170948282,29.3166646651
1564300000,4.963853094,4.9936283623,29.1839329031,29.1541576348
1578950000,5.2449425702,5.431431477,28.9838100726,28.7973211659
1593600000,5.6543860055,5.9787311282,28.6545855071,28.3302403844
1608250000,6.1022107438,6.1617752936,28.2862455487,28.2266809989
1622900000,6.4147179446,6.6035625197,28.0525023515,27.8636577764
1637550000,6.7999791865,6.7572443533,27.7452972918,27.788032125
1652200000,6.9974312926,7.2949113035,27.6252061549,27.3277261441
1666850000,7.0508461257,7.8640229409,27.648469353,26.8352925378
1681500000,6.9112114379,7.2933789924,27.8641110862,27.4819435316
1696150000,6.6341278839,6.3724974894,28.2165423411,28.4781727356
1710800000,6.7383422714,6.0111937875,28.1870276513,28.9141761352
1725450000,6.3268526195,5.7585069027,28.6725800485,29.2409257652
1740100000,5.7718811874,5.3619094103,29.300988044,29.7109598211
1754750000,5.6745159844,5.2944269308,29.4711741284,29.8512631819
1769400000,5.798319181,5.63999119,29.4195863687,29.5779143598
1784050000,5.7754396501,6.0005440869,29.514085877,29.2889814401
1798700000,5.7159867051,5.7635983532,29.6445730791,29.596961431
1813350000,5.9164354087,6.1042668057,29.5145824151,29.326751018
1828000000,6.3273803982,6.7397584588,29.1735285208,28.7611504602
1842650000,6.5849447293,7.3394558655,28.9852973917,28.2307862554
1857300000,6.4513682916,6.7521978009,29.1876579741,28.8868284648
1871950000,6.54700737,5.8159790369,29.1602626111,29.8912909442
1886600000,6.5362839823,5.510685314,29.2386977108,30.2642963791
1901250000,6.3752341505,5.4930468965,29.4669354818,30.3491227357
1915900000,6.3283922822,5.444389868,29.5804495573,30.4644519715
1930550000,6.3065088066,5.6561258463,29.6684973655,30.3188803257
1945200000,6.3217779208,5.7899106754,29.7188923882,30.2507596335
1959850000,6.1127550373,5.8975492779,29.9930867189,30.2082924784
1974500000,5.8958034834,6.0271837408,30.274724369,30.1433441116
1989150000,6.0515125377,6.2015484535,30.1832232355,30.0331873197
2003800000,6.0067215063,6.2535410254,30.2917510302,30.044931511
2018450000,5.6206065604,6.1264653599,30.7411384458,30.2352796464
2033100000,5.5161147889,5.8398017847,30.9084451093,30.5847581135
2047750000,5.706148636,5.4819908014,30.7807751471,31.0049329818
2062400000,5.94692654,5.0606396687,30.6019165513,31.4882034225
2077050000,6.0771315772,4.6229831767,30.533192539,31.9873409395
2091700000,6.1551593103,4.3702456171,30.5162137088,32.301127402
2106350000,6.1784831476,4.7567280102,30.5535126844,31.9752678218
2121000000,6.4601415567,5.543576608,30.3320569047,31.2486218533
2135650000,6.6212153109,6.0795391153,30.230771381,30.7724475766
2150300000,6.328707702,6.4303807811,30.5826584874,30.4809854082
2164950000,6.006197296,6.8046371998,30.9641452086,30.1657053048
2179600000,6.3267259087,6.8757218447,30.702195167,30.1531992309
2194250000,6.4970074721,7.0300738569,30.5900997595,30.0570333747
2208900000,6.1119855568,6.2933497407,31.0329206382,30.8515564543
2223550000,5.6297044622,4.804552244,31.5726186225,32.3977708407
2238200000,5.1968501165,3.7771819873,32.0625128026,33.4821809318
2252850000,5.0808827736,3.9837082316,32.2351478444,33.3323223864
2267500000,5.4974777518,4.3711260249,31.8748532539,33.0012049808
2282150000,5.6517493203,4.404921015,31.7765194928,33.0233477982
2296800000,5.3727763935,4.6335900785,32.1110722873,32.8502586023
2311450000,5.2191971432,5.0629529438,32.319878017,32.4761222164
2326100000,5.7358686511,5.8611284947,31.8580840657,31.7328242222
2340750000,6.1485784071,6.5572927901,31.4999073251,31.091192942
2355400000,5.9775860178,6.6166901732,31.7250924876,31.0859883322
2370050000,5.4691747661,6.2117621351,32.2873604898,31.5447731208
2384700000,5.431695598,5.7038132507,32.3783645271,32.1062468744
2399350000,5.5696968334,5.5499466709,32.2935603448,32.3133105073
2414000000,5.3863462903,5.1697272269,32.5297841159,32.7464031794
2428650000,5.2853073411,4.8666334038,32.6833763867,33.1020503241
2443300000,5.3251571841,4.1406129541,32.6957638068,33.8803080367
2457950000,5.1599976622,4.3719335139,32.9128483119,33.7009124603
2472600000,5.3018409445,4.8988987009,32.8226214447,33.2255636882
2487250000,5.1469773407,4.8586353362,33.0287965411,33.3171385456
2501900000,4.5634731084,4.5562709405,33.663310925,33.6705130929
2516550000,4.1859738732,4.4707098365,34.0915224896,33.8067865263
2531200000,4.1791109212,4.4419600811,34.1488034062,33.8859542462
2545850000,3.9851791628,4.3381420072,34.3928621621,34.0398993177
2560500000,3.4453199145,4.1254557061,34.9825607799,34.3024249884
2575150000,2.7343816488,3.126380409,35.7430540691,35.351055309
2589800000,2.2095011621,1.8597640327,36.3172084595,36.6669455889
2604450000,2.4947499486,1.2023336183,36.0809556285,37.3733719588
2619100000,2.9680888287,1.6577401056,35.6563378736,36.9666865966
2633750000,3.1679024389,1.9682762586,35.5049736245,36.7045998047
2648400000,2.5970034729,2.2729749404,36.1240532023,36.4480817348
2663050000,2.2703491349,2.6846604193,36.498622368,36.0843110837
2677700000,2.613533285,3.2666813234,36.2030901778,35.5499421394
2692350000,2.8063843679,3.5788389098,36.0576310555,35.2851765135
2707000000,2.1643356643,3.3659398534,36.7468145422,35.545210353
2721650000,1.5149862996,2.9631475093,37.4430442885,35.9948830788
2736300000,1.1056866199,1.994073049,37.89897268,37.0105862509
2750950000,1.4275964479,1.3443407584,37.6234425816,37.7066982711
2765600000,1.2663345503,0.221142883,37.8308378714,38.8760295387
2780250000,0.2146508237,-1.6372029096,38.9284112557,40.780264989
2794900000,-0.9941738364,-3.1584443904,40.182884401,42.347154955
2809550000,-1.8344117379,-3.0583752798,41.0685321369,42.2924956788
2824200000,-1.912427993,-2.3179843236,41.1917220578,41.5972783884
2838850000,-2.2927286965,-1.7180926789,41.6169627026,41.042326685
2853500000,-3.5244401952,-2.0714571602,42.8933828239,41.4403997889
2868150000,-4.8315285907,-2.9024192553,44.2449508927,42.3158415573
2882800000,-4.8390608963,-3.0381449476,44.2967362551,42.4958203063
2897450000,-3.8545772859,-3.1331498794,43.3562813824,42.6348539759
2912100000,-3.3637537772,-3.2648642513,42.9092645551,42.8103750292
2926750000,-4.2238717755,-4.4399700631,43.812969407,44.0290676946
2941400000,-4.5504262767,-5.5896951183,44.1828931294,45.222161971
2956050000,-4.4782318437,-6.0788975096,44.1538524476,45.7545181135
2970700000,-4.3218021568,-5.9488600597,44.0403631723,45.6674210753
2985350000,-4.3265254531,-5.9449010743,44.0878156397,45.7061912609
3000000000,-5.061889992,-6.5364856515,44.8657001774,46.3402958369
