17 Nov 2014,
Frequency [MHz],Loss [dB]
5657.44,15.7269995869
5668.86,15.7766055382
5680.29,15.8328263366
5691.72,15.8883416481
5703.14,15.8794430623
5714.57,15.9598715303
5726,16.0267774974
5737.43,16.0680342672
5748.85,16.1075763529
5760.28,16.1988168495
5771.71,16.2332172048
5783.13,16.2331772315
5794.56,16.3014873153
5805.99,16.3062407984
5817.42,16.3987940217
5828.84,16.4160295893
5840.27,16.4263062184
5851.7,16.4707350792
5863.12,16.5833622544
5874.55,16.6336702641
5885.98,16.7068233238
5897.41,16.739771156
5908.83,16.7719449408
5920.26,16.8763511818
5931.69,16.882306847
5943.11,16.9783751284
5954.54,16.9316604679
5965.97,17.0232781461
5977.4,17.0653363914
5988.82,17.066317895
6000.25,17.0938827187
6011.68,17.1946062537
6023.1,17.2343181457
6034.53,17.3258292348
6045.96,17.3520711345
6057.39,17.3759581556
6068.81,17.4350409876
6080.24,17.4756969139
6091.67,17.564714265
6103.09,17.6045357668
6114.52,17.650984461
6125.95,17.6784632223
6137.38,17.692248281
6148.8,17.8234439184
6160.23,17.8201637747
6171.66,17.9321006863
6183.08,17.9743015652
6194.51,17.9969247667
6205.94,18.0655089755
6217.37,18.1496809639
6228.79,18.1979804168
6240.22,18.251933848
6251.65,18.2695282345
6263.07,18.3207034857
6274.5,18.3822433845
6285.93,18.4465819853
6297.36,18.5178500431
6308.78,18.5843318244
6320.21,18.6745966319
6331.64,18.6734633239
6343.06,18.8160523893
6354.49,18.8877739402
6365.92,18.9384126128
6377.35,18.9914753153
6388.77,19.0836064172
6400.2,19.1313173385
6411.63,19.221643435
6423.05,19.2423563969
6434.48,19.331274186
6445.91,19.3549176975
6457.34,19.4378270115
6468.76,19.4897802991
6480.19,19.5247622202
6491.62,19.6297794213
6503.04,19.7372256594
6514.47,19.8091861787
6525.9,19.8494602999
6537.33,19.9295878083
6548.75,20.0166774641
6560.18,20.0526758478
6571.61,20.1341047678
6583.03,20.2083464833
6594.46,20.2950430188
6605.89,20.4335077946
6617.32,20.5444913518
6628.74,20.6202777134
6640.17,20.7174394284
6651.6,20.7756486328
6663.02,20.841651756
6674.45,21.0009889534
6685.88,21.0655515213
6697.31,21.1734293045
6708.73,21.2754302273
6720.16,21.3409896795
6731.59,21.44542812
6743.01,21.5124315527
6754.44,21.5603166317
6765.87,21.6834715679
6777.3,21.8233227835
6788.72,21.8953612473
6800.15,21.9635294728
6811.58,22.1123807204
6823,22.1647095077
6834.43,22.2710677815
6845.86,22.424632007
6857.29,22.46228623
6868.71,22.6025545851
6880.14,22.793429396
6891.57,22.8357188341
6902.99,23.0187362916
6914.42,23.1448122825
6925.85,23.2465190398
6937.28,23.3946735946
6948.7,23.4646701712
6960.13,23.5923973862
6971.56,23.7502493315
6982.98,23.8927984803
6994.41,23.8978077631
7005.84,24.1296277632
7017.27,24.1713250185
7028.69,24.2719372628
7040.12,24.3427888554
7051.55,24.4816164446
7062.97,24.6515977331
7074.4,24.7022141726
7085.83,24.8709514324
7097.26,24.9925764002
7108.68,25.1966467505
7120.11,25.2449287398
7131.54,25.3335622561
7142.96,25.5150876148
7154.39,25.6151896603
7165.82,25.7794413316
7177.25,25.9334245312
7188.67,26.0798145312
7200.1,26.1598929735
7211.53,26.3352509954
7222.95,26.4809495644
7234.38,26.68174333
7245.81,26.8130708564
7257.24,26.9761021
7268.66,27.2525330831
7280.09,27.3364771574
7291.52,27.4770465666
7302.94,27.6600384961
7314.37,27.8310172653
7325.8,28.0203797163
7337.23,28.1507037173
7348.65,28.3227210032
7360.08,28.4221925411
7371.51,28.6667733341
7382.93,28.7923831345
7394.36,28.9426250526
7405.79,29.1833215026
7417.22,29.3356690159
7428.64,29.5160630947
7440.07,29.8030693145
7451.5,30.0118701062
7462.92,30.143997042
7474.35,30.2885699131
7485.78,30.4980133517
7497.21,30.7284178396
7508.63,30.9043222291
7520.06,31.061184699
7531.49,31.2954349538
7542.91,31.6202610735
7554.34,31.7755577661
7565.77,32.00047436
7577.2,32.2135796417
7588.62,32.4727564109
7600.05,32.4904885596
7611.48,32.7819441883
7622.9,32.9948989901
7634.33,33.3066307081
7645.76,33.4814454644
7657.19,33.7576207244
7668.61,33.9501399004
7680.04,34.2460137993
7691.47,34.607613581
7702.89,34.6297465159
7714.32,34.8483177307
7725.75,35.1070482084
7737.18,35.4385176998
7748.6,35.6633447993
7760.03,35.8734922887
7771.46,36.2112916313
7782.88,36.6080990958
7794.31,36.7431352546
7805.74,37.1527775234
7817.17,37.4917997833
7828.59,37.677298999
7840.02,37.8175473949
7851.45,38.1227426938
7862.87,38.6999062983
7874.3,39.0047337131
7885.73,39.0393828761
7897.16,39.091436714
7908.58,39.5361735703
7920.01,39.8064361302
7931.44,40.4078775156
7942.86,40.1716914114
7954.29,40.7554952181
7965.72,41.2824437512
7977.15,41.7338358656
7988.57,41.7284164339
8000,42.5600801285
